Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom House,680000.0,2.0,1.0,1.0,237.0,,
2 Bedroom House,795000.0,2.0,1.0,2.0,321.0,,
4 Bedroom Townhouse,2995000.0,4.0,4.0,4.0,450.0,,
3 Bedroom House,750000.0,3.0,2.0,1.0,287.0,21 Arrowgrass,
2 Bedroom House,585000.0,2.0,1.0,1.0,400.0,Prima Villa Court,
2 Bedroom Apartment,465000.0,2.0,1.0,2.0,,"49 Alfred Street, Unit 3",
2 Bedroom Apartment,1195000.0,2.0,2.0,2.0,,83 Wessel Swart Drive,
2 Bedroom Apartment,900000.0,2.0,1.0,1.0,,"6 Ss Killarney Hotel, 7 Albany Street",
12 Bedroom House,4200000.0,12.0,12.0,,800.0,8 Beach Crescent,
1 Bedroom Apartment,795000.0,1.0,1.0,1.0,,"17 Under the Oak, 4 Warren Street",
4 Bedroom House,2495000.0,4.0,3.0,6.0,1098.0,1 Reservoir Rd,
4 Bedroom House,3950000.0,4.0,3.0,6.0,694.0,,
6 Bedroom House,3100000.0,6.0,5.0,2.0,779.0,,
3 Bedroom House,550000.0,3.0,2.0,5.0,325.0,,
3 Bedroom Townhouse,1300000.0,3.0,1.0,,,,
3 Bedroom Townhouse,2250000.0,3.0,2.0,1.0,566.0,,
4 Bedroom House,2100000.0,4.0,1.0,3.0,826.0,,
2 Bedroom House,585000.0,2.0,1.0,1.0,400.0,Prima Villa Court,
5 Bedroom House,8900000.0,5.0,5.0,7.0,990.0,18 Butt Road,
3 Bedroom Apartment,1950000.0,3.0,2.0,1.0,,,
3 Bedroom Apartment,1980000.0,3.0,2.0,1.0,,,
4 Bedroom House,1650000.0,4.0,3.0,6.0,1081.0,,
3 Bedroom House,1499000.0,3.0,2.0,2.0,545.0,,
2 Bedroom House,1250000.0,2.0,1.0,1.0,1043.0,25 Coral Tree Crescent The Village,
1 Bedroom Apartment,449999.0,1.0,1.0,,60.0,,
4 Bedroom House,1999000.0,4.0,3.0,3.0,573.0,,
2 Bedroom Apartment,1150000.0,2.0,2.0,1.0,,Ss Lelane Appartments 14 Cathcart Road,
3 Bedroom House,3395000.0,3.0,3.0,4.0,2018.0,17 Portulaca Road,
3 Bedroom Townhouse,2995000.0,3.0,3.0,2.0,1014.0,"1 Kingsview Estate, 10 Miles Street",
2 Bedroom Apartment,830000.0,2.0,1.0,2.0,,"5 Ss Kenya Court, 6 Doncaster Road",
3 Bedroom House,4200000.0,3.0,25.0,2.0,772.0,,
House,3200000.0,,,,1487.0,,
3 Bedroom House,1795000.0,3.0,2.0,2.0,400.0,,
3 Bedroom House,1550000.0,3.0,2.0,2.0,,,
House,990000.0,,,,386.0,,
1 Bedroom Apartment,585000.0,1.0,1.0,1.0,,,
