Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom House,670000.0,2.0,1.0,1.0,,,
3 Bedroom House,650000.0,3.0,1.0,4.0,1487.0,,
4 Bedroom House,1670000.0,4.0,3.0,7.0,1286.0,,
3 Bedroom House,7500000.0,3.0,3.0,4.0,1989.0,,
2 Bedroom Townhouse,1380000.0,2.0,2.0,3.0,,,
3 Bedroom Townhouse,1290000.0,3.0,15.0,4.0,207.0,,
2 Bedroom Townhouse,698000.0,2.0,1.0,2.0,,,
3 Bedroom Townhouse,899000.0,3.0,1.0,1.0,77.0,,
3 Bedroom Townhouse,2195000.0,3.0,2.0,4.0,5489.0,5 Basil Read Road Dan Pienaar,
2 Bedroom House,950000.0,2.0,2.0,2.0,413.0,,
10 Bedroom House,2250000.0,10.0,7.0,,1128.0,,
3 Bedroom House,995000.0,3.0,2.0,2.0,1108.0,52 Main Street,
3 Bedroom House,1780000.0,3.0,2.0,2.0,370.0,,
4 Bedroom House,900000.0,4.0,2.0,3.0,1472.0,,
3 Bedroom House,980000.0,3.0,2.0,1.0,363.0,,
8 Bedroom Townhouse,3285000.0,8.0,4.0,4.0,1540.0,680 Fouriesburg Street,
2 Bedroom Townhouse,1380000.0,2.0,2.0,3.0,,,
3 Bedroom House,1720000.0,3.0,2.0,2.0,135343.0,,
4 Bedroom House,1380000.0,4.0,2.0,1.0,841.0,,
2 Bedroom House,250000.0,2.0,1.0,,301.0,,
3 Bedroom House,900000.0,3.0,3.0,2.0,,,
3 Bedroom Townhouse,1015000.0,3.0,2.0,3.0,,,
2 Bedroom Townhouse,1650000.0,2.0,2.0,2.0,,,
4 Bedroom House,925000.0,4.0,2.0,3.0,925.0,,
6 Bedroom House,1700000.0,6.0,4.0,4.0,1768.0,,
3 Bedroom House,4990000.0,3.0,2.0,2.0,900.0,,
3 Bedroom House,815000.0,3.0,2.0,4.0,644.0,,
3 Bedroom House,3570000.0,3.0,4.0,3.0,198.0,,
3 Bedroom House,1550000.0,3.0,2.0,1.0,111.0,,
3 Bedroom House,1300000.0,3.0,2.0,2.0,1453.0,13a Van Riebeeck Street,
4 Bedroom House,1900000.0,4.0,2.0,4.0,1413.0,58 Benbow Avenue,
3 Bedroom House,570000.0,3.0,2.0,3.0,1200.0,40 Water Street,
3 Bedroom House,899000.0,3.0,2.0,4.0,1487.0,,
3 Bedroom Townhouse,1015000.0,3.0,2.0,3.0,,,
House,2900000.0,,,,,57 Brill Street,
2 Bedroom House,850000.0,2.0,1.0,1.0,1606.0,,
11 Bedroom House,2700000.0,11.0,9.0,1.0,1186.0,,
2 Bedroom Townhouse,530000.0,2.0,1.0,1.0,,,
1 Bedroom Apartment,870000.0,1.0,1.0,1.0,,,
3 Bedroom House,1250000.0,3.0,2.0,2.0,330.0,,
4 Bedroom House,999000.0,4.0,2.0,1.0,375.0,,
4 Bedroom House,7500000.0,4.0,4.0,4.0,1195.0,1 Wildeals Road,
3 Bedroom House,2400000.0,3.0,2.0,2.0,833.0,,
2 Bedroom Townhouse,790400.0,2.0,1.0,1.0,,,
5 Bedroom House,750000.0,5.0,2.0,2.0,1338.0,,
4 Bedroom House,895000.0,4.0,3.0,,2200.0,,
3 Bedroom House,1200000.0,3.0,2.0,2.0,833.0,,
3 Bedroom House,550000.0,3.0,1.0,1.0,,,
4 Bedroom House,895000.0,4.0,3.0,,2200.0,,
4 Bedroom House,3050000.0,4.0,3.0,1.0,750.0,,
3 Bedroom House,1350000.0,3.0,2.0,2.0,360.0,,
2 Bedroom Townhouse,505000.0,2.0,1.0,1.0,,,
3 Bedroom House,543000.0,3.0,15.0,2.0,377.0,,
5 Bedroom House,1500000.0,5.0,4.0,2.0,1115.0,,
20 Bedroom House,1299000.0,20.0,20.0,4.0,2211.0,,
4 Bedroom House,2255000.0,4.0,2.0,2.0,1083.0,,
2 Bedroom House,970000.0,2.0,2.0,1.0,,,
3 Bedroom House,1450000.0,3.0,2.0,2.0,310.0,,
4 Bedroom House,598000.0,4.0,2.0,3.0,,,
2 Bedroom Townhouse,899000.0,2.0,1.0,2.0,,,
5 Bedroom House,900000.0,5.0,3.0,2.0,1487.0,,
3 Bedroom House,1606000.0,3.0,3.0,3.0,,,
3 Bedroom House,1350000.0,3.0,2.0,1.0,360.0,,
4 Bedroom House,1400000.0,4.0,2.0,,,,
3 Bedroom House,920000.0,3.0,2.0,2.0,358.0,,
2 Bedroom House,550000.0,2.0,1.0,1.0,,,
3 Bedroom House,1000000.0,3.0,2.0,4.0,,,
2 Bedroom Townhouse,1170000.0,2.0,2.0,2.0,,,
2 Bedroom Apartment,550000.0,2.0,1.0,1.0,,,
7 Bedroom House,2800000.0,7.0,7.0,4.0,1442.0,,
1 Bedroom Apartment,450000.0,1.0,1.0,1.0,,,
3 Bedroom Townhouse,600000.0,3.0,2.0,1.0,,,
7 Bedroom House,2800000.0,7.0,7.0,4.0,1442.0,,
4 Bedroom House,950000.0,4.0,3.0,4.0,,,
17 Bedroom House,2900000.0,17.0,7.0,,2568.0,,
3 Bedroom Apartment,795000.0,3.0,1.0,2.0,,,
4 Bedroom House,1089000.0,4.0,2.0,2.0,2230.0,,
1 Bedroom Apartment,370000.0,1.0,1.0,,,,
5 Bedroom House,1730000.0,5.0,2.0,2.0,1667.0,,
4 Bedroom House,8150000.0,4.0,5.0,3.0,709.0,,
3 Bedroom Townhouse,1085000.0,3.0,2.0,1.0,,,
3 Bedroom House,2065000.0,3.0,2.0,2.0,,,
3 Bedroom House,699000.0,3.0,1.0,1.0,,,
1 Bedroom Apartment,440000.0,1.0,1.0,1.0,,,
3 Bedroom House,1020840.0,3.0,2.0,1.0,360.0,,
4 Bedroom House,3400000.0,4.0,4.0,2.0,377.0,,
2 Bedroom House,750000.0,2.0,1.0,2.0,415.0,,
4 Bedroom House,1295000.0,4.0,,1.0,901.0,,
4 Bedroom House,2100000.0,4.0,2.0,4.0,1200.0,,
5 Bedroom House,2500000.0,5.0,4.0,7.0,1460.0,,
2 Bedroom House,1550000.0,2.0,15.0,2.0,,,
6 Bedroom House,3650000.0,6.0,4.0,,664.0,,
3 Bedroom House,595000.0,3.0,2.0,1.0,919.0,,
8 Bedroom House,3300000.0,8.0,4.0,5.0,770.0,,
3 Bedroom Townhouse,1680000.0,3.0,25.0,3.0,6301.0,,
6 Bedroom House,1090000.0,6.0,2.0,4.0,,,
