Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom Apartment,858000.0,2.0,1.0,2.0,,,
House,1172700.0,,,,300.0,,
2 Bedroom Townhouse,1490000.0,2.0,2.0,1.0,6144.0,,
2 Bedroom Apartment,858000.0,2.0,1.0,2.0,,,
4 Bedroom Townhouse,5200000.0,4.0,4.0,2.0,,,
6 Bedroom House,1600000.0,6.0,25.0,8.0,4.0,,
6 Bedroom House,2900000.0,6.0,6.0,2.0,1457.0,,
3 Bedroom House,819000.0,3.0,2.0,,200.0,6678 Motlwa Crescent,
2 Bedroom Apartment,695000.0,2.0,1.0,1.0,,,
5 Bedroom House,2294000.0,5.0,3.0,5.0,1025.0,,
3 Bedroom House,1540000.0,3.0,2.0,2.0,376.0,,
2 Bedroom Townhouse,2200000.0,2.0,2.0,2.0,,,
3 Bedroom Townhouse,1500000.0,3.0,2.0,1.0,10001.0,,
5 Bedroom House,5150000.0,5.0,4.0,2.0,1989.0,,
1 Bedroom Apartment,620000.0,1.0,1.0,1.0,,,
2 Bedroom Apartment,3942500.0,2.0,2.0,,,,
2 Bedroom Apartment,580000.0,2.0,1.0,,,,
2 Bedroom Apartment,1599000.0,2.0,2.0,1.0,,,
3 Bedroom Apartment,2450000.0,3.0,2.0,2.0,,,
3 Bedroom Apartment,850000.0,3.0,2.0,2.0,,,
3 Bedroom Townhouse,1540000.0,3.0,2.0,2.0,106.0,"8 Ss Izinthaba, 10 Vaalboom Road",
2 Bedroom House,510000.0,2.0,1.0,2.0,,,
3 Bedroom Apartment,910000.0,3.0,2.0,2.0,,,
3 Bedroom House,2300000.0,3.0,3.0,2.0,407.0,,
3 Bedroom House,1350000.0,3.0,1.0,2.0,3597.0,105 4th Street,
2 Bedroom Apartment,420000.0,2.0,1.0,1.0,,,
2 Bedroom Townhouse,999900.0,2.0,1.0,2.0,,,
3 Bedroom House,3200000.0,3.0,25.0,2.0,444.0,,
1 Bedroom Apartment,650000.0,1.0,1.0,1.0,,1 Antwerp Road,
3 Bedroom House,1250000.0,3.0,2.0,4.0,1600.0,,
3 Bedroom House,2250000.0,3.0,2.0,3.0,,,
13 Bedroom House,4000000.0,13.0,9.0,16.0,20244.0,,
2 Bedroom Apartment,420000.0,2.0,1.0,1.0,,,
House,2495000.0,,,,428.0,,
4 Bedroom House,2890000.0,4.0,4.0,3.0,495.0,,
3 Bedroom House,2250000.0,3.0,2.0,4.0,518.0,,
1 Bedroom Apartment,299990.0,1.0,1.0,2.0,,,
3 Bedroom Townhouse,2395000.0,3.0,25.0,2.0,,32 Borrowdale Road,
2 Bedroom House,400000.0,2.0,1.0,2.0,220.0,,
3 Bedroom House,1600000.0,3.0,2.0,,433.0,,
6 Bedroom House,760000.0,6.0,3.0,4.0,420.0,,
3 Bedroom Apartment,1080000.0,3.0,2.0,2.0,,,
4 Bedroom House,3499000.0,4.0,2.0,3.0,1225.0,,
2 Bedroom House,549000.0,2.0,1.0,,170.0,6697 Ulola Street,
2 Bedroom Apartment,1100000.0,2.0,1.0,2.0,,,
3 Bedroom House,1550000.0,3.0,25.0,9.0,833.0,,
3 Bedroom House,1650000.0,3.0,2.0,7.0,777.0,,
4 Bedroom House,4950000.0,4.0,35.0,3.0,1324.0,,
3 Bedroom House,3390000.0,3.0,3.0,2.0,,,
