Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom House,2150000.0,3.0,2.0,2.0,1487.0,,
2 Bedroom Apartment,630000.0,2.0,1.0,2.0,,31 Hefer Street,
3 Bedroom House,980000.0,3.0,2.0,2.0,377.0,,
2 Bedroom House,3400000.0,2.0,2.0,4.0,,,
3 Bedroom House,2499000.0,3.0,35.0,2.0,495.0,,
2 Bedroom House,550000.0,2.0,1.0,,,,
4 Bedroom Townhouse,6500000.0,4.0,5.0,2.0,400.0,2 Currie Street Oaklands,
2 Bedroom House,3400000.0,2.0,2.0,4.0,,,
1 Bedroom Apartment,790000.0,1.0,1.0,1.0,,,
4 Bedroom House,3199000.0,4.0,3.0,12.0,1868.0,,
0.5 Bedroom Apartment,1250000.0,5.0,1.0,1.0,,"55623 The Capital On Bath, 72 Bath Avenue",
2 Bedroom Apartment,649000.0,2.0,1.0,1.0,,,
2 Bedroom Townhouse,1000000.0,2.0,2.0,1.0,,,
2 Bedroom Apartment,630000.0,2.0,1.0,1.0,,11#dt Kevin Street,
3 Bedroom House,1499000.0,3.0,3.0,3.0,495.0,58 11th Street,
2 Bedroom Apartment,690000.0,2.0,1.0,1.0,,,
3 Bedroom Apartment,6900000.0,3.0,35.0,2.0,,53 2nd Avenue,
3 Bedroom Apartment,4249999.0,3.0,3.0,2.0,,,
2 Bedroom Townhouse,730000.0,2.0,1.0,1.0,,,
Vacant Land,3180000.0,,,,1383.0,189 Barry Hertzog Avenue,
3 Bedroom House,1250000.0,3.0,2.0,2.0,300.0,,
1 Bedroom Apartment,600000.0,1.0,1.0,1.0,,"49 Artisan, 260 Market Street",
3 Bedroom Townhouse,760000.0,3.0,2.0,2.0,,,
4 Bedroom House,1395000.0,4.0,2.0,2.0,,,
3 Bedroom House,7950000.0,3.0,2.0,4.0,800.0,,
2 Bedroom Apartment,550000.0,2.0,2.0,1.0,,,
1 Bedroom Apartment,520000.0,1.0,1.0,1.0,,,
2 Bedroom Townhouse,740000.0,2.0,15.0,1.0,7941.0,4 Rosen Street,
2 Bedroom Apartment,600000.0,2.0,1.0,,,47 5th Road,
5 Bedroom House,6499999.0,5.0,3.0,15.0,1600.0,,
6 Bedroom House,1699999.0,6.0,2.0,6.0,496.0,32 Ivy Street,
3 Bedroom House,1690000.0,3.0,3.0,7.0,496.0,42 St Albans Ave,
4 Bedroom House,4850000.0,4.0,35.0,6.0,1020.0,,
2 Bedroom Apartment,630000.0,2.0,1.0,1.0,,,
4 Bedroom House,2285000.0,4.0,3.0,2.0,1200.0,,
4 Bedroom House,2590000.0,4.0,3.0,2.0,2926.0,,
5 Bedroom House,1099000.0,5.0,3.0,2.0,,,
3 Bedroom House,1999999.0,3.0,2.0,6.0,743.0,,
3 Bedroom House,3800000.0,3.0,2.0,4.0,1012.0,,
4 Bedroom House,2500000.0,4.0,21.0,2.0,1487.0,,
1 Bedroom Apartment,520000.0,1.0,1.0,1.0,,,
25 Bedroom Apartment,3850000.0,25.0,25.0,1.0,,54 Ninth Street,
4 Bedroom House,1350000.0,4.0,2.0,1.0,990.0,,
3 Bedroom House,650000.0,3.0,15.0,1.0,456.0,,
3 Bedroom House,8600000.0,3.0,3.0,,2142.0,,
2 Bedroom House,845000.0,2.0,2.0,1.0,422.0,,
3 Bedroom Townhouse,5499900.0,3.0,4.0,2.0,,,
3 Bedroom House,2290000.0,3.0,35.0,2.0,495.0,,
3 Bedroom House,1500000.0,3.0,3.0,3.0,496.0,,
4 Bedroom House,1295000.0,4.0,35.0,1.0,495.0,,
4 Bedroom House,4350000.0,4.0,3.0,3.0,1959.0,,
