Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
4 Bedroom Apartment,2490000.0,4.0,35.0,2.0,,,
3 Bedroom House,1475000.0,3.0,1.0,2.0,659.0,,
4 Bedroom Townhouse,8995000.0,4.0,5.0,3.0,15959.0,,
5 Bedroom Townhouse,1080000.0,5.0,3.0,2.0,7347.0,"46 46taylorstreet,ramsgate, KwaZulu-Natal",
4 Bedroom House,3899000.0,4.0,3.0,5.0,1012.0,,
2 Bedroom Apartment,2850000.0,2.0,15.0,1.0,,84ab Compensation Beach Road,
3 Bedroom House,1150000.0,3.0,1.0,7.0,799.0,,
2 Bedroom Apartment,810000.0,2.0,1.0,2.0,,,
5 Bedroom House,8750000.0,5.0,6.0,2.0,,5 Kudu Road,
3 Bedroom Apartment,1850000.0,3.0,25.0,3.0,,,
1 Bedroom Apartment,2500000.0,1.0,1.0,1.0,,"725 Ss Pearlsky, 3b Lagoon Drive",
5 Bedroom House,12950000.0,5.0,45.0,4.0,1600.0,233 Hillside Road,
5 Bedroom House,1200000.0,5.0,4.0,5.0,452.0,,
2 Bedroom Apartment,750000.0,2.0,1.0,1.0,,,
3 Bedroom House,1150000.0,3.0,1.0,7.0,799.0,,
2 Bedroom Apartment,3800000.0,2.0,2.0,3.0,,8 Glendining Court,
3 Bedroom Townhouse,850000.0,3.0,25.0,3.0,1800.0,,
1 Bedroom Apartment,1340000.0,1.0,1.0,1.0,,,
4 Bedroom House,1190000.0,4.0,2.0,3.0,900.0,,
4 Bedroom House,1695000.0,4.0,35.0,6.0,1074.0,,
4 Bedroom House,5350000.0,4.0,3.0,5.0,1033.0,,
3 Bedroom Apartment,3800000.0,3.0,2.0,4.0,,55 Marine Drive,
2 Bedroom Apartment,720000.0,2.0,15.0,1.0,68.0,"202 Umdoni Heights, 2 Adams Street",
0.5 Bedroom Apartment,486000.0,5.0,1.0,1.0,,,
5 Bedroom House,5850000.0,5.0,3.0,2.0,1373.0,,
4 Bedroom Apartment,2450000.0,4.0,3.0,4.0,,"105 Juanita, 27 Duke Rd",
3 Bedroom Townhouse,2190000.0,3.0,2.0,2.0,261.0,1 Devon Place,
3 Bedroom Townhouse,2595000.0,3.0,25.0,2.0,3054.0,,
3 Bedroom House,5000000.0,3.0,35.0,3.0,928.0,91 Inanda Road,
2 Bedroom Townhouse,1175000.0,2.0,15.0,2.0,,"Cherry Lane, 129 Loon Road",
3 Bedroom House,4650000.0,3.0,3.0,4.0,286.0,,
3 Bedroom Apartment,3350000.0,3.0,2.0,2.0,,,
3 Bedroom Apartment,1740000.0,3.0,2.0,1.0,,,
1 Bedroom Apartment,750000.0,1.0,1.0,1.0,,405 Simbithi Drive,
6 Bedroom House,26000000.0,6.0,6.0,2.0,1376.0,8 Eastmoor Crescent,
1.5 Bedroom Apartment,750000.0,15.0,15.0,1.0,,"2 Montjoy, 7 Belmore Place",
2 Bedroom Apartment,1050000.0,2.0,1.0,3.0,,"35 Ss Fernwood Estate, 19 Fernleigh Road",
3 Bedroom Townhouse,950000.0,3.0,2.0,2.0,16614.0,8 Lynton Park 9 Aiken Place,
3 Bedroom Apartment,1295000.0,3.0,2.0,2.0,,450 Queen Elizabeth Avenue,
3 Bedroom Apartment,2800000.0,3.0,2.0,1.0,,,
4 Bedroom House,3350000.0,4.0,4.0,8.0,4834.0,6 Cypress Place,
1 Bedroom Apartment,750000.0,1.0,1.0,1.0,,405 Simbithi Drive,
2 Bedroom Apartment,2550000.0,2.0,2.0,1.0,,,
2 Bedroom Apartment,,2.0,1.0,,,Chelsea Court 67 Margaret Mncadi Avenue,
3 Bedroom House,935000.0,3.0,2.0,,,,
3 Bedroom Apartment,5500000.0,3.0,2.0,3.0,,,
3 Bedroom Townhouse,3900000.0,3.0,3.0,4.0,,,
2 Bedroom Apartment,970000.0,2.0,1.0,1.0,58.0,,
6 Bedroom House,3795000.0,6.0,4.0,6.0,1039.0,,
1 Bedroom Apartment,650000.0,1.0,1.0,1.0,,,
5 Bedroom House,1980000.0,5.0,3.0,7.0,1442.0,,
2 Bedroom Townhouse,695000.0,2.0,2.0,1.0,7122.0,4 Will O Sue 658 Marlin Drive,
2 Bedroom Apartment,685000.0,2.0,2.0,1.0,,"6 Ss Mer Bleue, 2 Dean Drive",
Apartment,290000.0,,,,,,
1.5 Bedroom Apartment,600000.0,15.0,1.0,1.0,,"19 Charles Strachan Road, 13 King Cetshwayo Highway",
24 Bedroom House,25000000.0,24.0,24.0,13.0,1200.0,,
24 Bedroom House,25000000.0,24.0,24.0,13.0,1200.0,,
2 Bedroom House,1870000.0,2.0,2.0,1.0,350.0,"Serenity Hills, 2 Stillwater Way",
4 Bedroom Townhouse,1349000.0,4.0,25.0,2.0,13358.0,,
3 Bedroom House,2050000.0,3.0,2.0,2.0,700.0,,
4 Bedroom House,1495000.0,4.0,25.0,5.0,1050.0,,
2 Bedroom Townhouse,2095000.0,2.0,2.0,2.0,9320.0,14d Beryldene Road,
3 Bedroom Apartment,4100000.0,3.0,2.0,2.0,,,
2 Bedroom Apartment,3300000.0,2.0,2.0,2.0,,,
2 Bedroom Apartment,575000.0,2.0,1.0,1.0,,,
5 Bedroom House,2995000.0,5.0,5.0,8.0,3700.0,,
3 Bedroom Townhouse,1995000.0,3.0,2.0,2.0,,,
1 Bedroom Apartment,1450000.0,1.0,1.0,1.0,,,
4 Bedroom Apartment,7500000.0,4.0,45.0,4.0,,,
6 Bedroom House,15995000.0,6.0,7.0,36.0,3803.0,,
3 Bedroom House,1250000.0,3.0,,,974.0,,
3 Bedroom House,1885000.0,3.0,2.0,2.0,1040.0,,
3 Bedroom Apartment,2150000.0,3.0,2.0,2.0,,,
2 Bedroom House,690000.0,2.0,1.0,2.0,,,
4 Bedroom Apartment,5350000.0,4.0,45.0,2.0,,,
2 Bedroom Apartment,715000.0,2.0,1.0,2.0,72.0,,
4 Bedroom Townhouse,1315000.0,4.0,2.0,1.0,148.0,,
3 Bedroom Townhouse,1399000.0,3.0,2.0,3.0,,,
5 Bedroom House,2995000.0,5.0,5.0,8.0,3700.0,,
3 Bedroom Apartment,2690000.0,3.0,2.0,1.0,,,
4 Bedroom House,975000.0,4.0,2.0,4.0,385.0,,
2 Bedroom Apartment,1980000.0,2.0,1.0,1.0,,,
3 Bedroom Apartment,3800000.0,3.0,2.0,2.0,,,
2 Bedroom Apartment,630000.0,2.0,1.0,,,,
1 Bedroom Apartment,450000.0,1.0,1.0,,,,
2 Bedroom Townhouse,1245000.0,2.0,2.0,1.0,,,
2 Bedroom Apartment,710000.0,2.0,1.0,,,,
4 Bedroom House,990000.0,4.0,2.0,1.0,,,
2 Bedroom Apartment,925000.0,2.0,1.0,,,,
3 Bedroom House,550000.0,3.0,1.0,1.0,545.0,,
4 Bedroom House,375000.0,4.0,1.0,1.0,450.0,,
Apartment,140000.0,,1.0,,,,
2 Bedroom House,995000.0,2.0,2.0,,,,
House,280000.0,,,,,,
