Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
2 Bedroom House,380000.0,2.0,1.0,,619.0,"Res/ 13579 New Polokwane, Erf 13579, Polokwane Ext 73",
3 Bedroom House,1890000.0,3.0,2.0,6.0,1062.0,,
3 Bedroom House,985000.0,3.0,2.0,3.0,339.0,,
3 Bedroom House,2530000.0,3.0,25.0,2.0,1410.0,,
3 Bedroom House,1640000.0,3.0,2.0,2.0,444.0,,
2 Bedroom House,1650000.0,2.0,2.0,2.0,300.0,,
6 Bedroom House,4500000.0,6.0,4.0,3.0,21.0,,
5 Bedroom House,3000000.0,5.0,3.0,3.0,1430.0,,
2 Bedroom Townhouse,699000.0,2.0,1.0,1.0,4059.0,,
4 Bedroom House,2300000.0,4.0,2.0,7.0,3344.0,"72 Keiser Street, Dendron",
6 Bedroom House,2848000.0,6.0,3.0,4.0,1350.0,,
2 Bedroom House,2950000.0,2.0,1.0,14.0,1764.0,Portion 3 Farm Eindelik,
2 Bedroom Apartment,899000.0,2.0,2.0,1.0,,,
8 Bedroom House,1030000.0,8.0,1.0,,446.0,,
3 Bedroom House,1195000.0,3.0,25.0,4.0,848.0,,
4 Bedroom House,3600000.0,4.0,4.0,2.0,538.0,,
2 Bedroom Apartment,1740000.0,2.0,25.0,2.0,,75 Devenish Street,
3 Bedroom House,1090000.0,3.0,2.0,2.0,1190.0,,
3 Bedroom House,2530000.0,3.0,25.0,2.0,1410.0,,
3 Bedroom House,2930000.0,3.0,2.0,2.0,12.0,,
5 Bedroom House,705000.0,5.0,5.0,2.0,900.0,,
3 Bedroom House,2580000.0,3.0,2.0,4.0,1504.0,,
3 Bedroom House,1170000.0,3.0,2.0,4.0,508.0,,
3 Bedroom Apartment,585000.0,3.0,1.0,1.0,,,
2 Bedroom Apartment,1195000.0,2.0,1.0,1.0,,,
6 Bedroom House,3225000.0,6.0,3.0,4.0,1663.0,,
3 Bedroom House,690000.0,3.0,2.0,6.0,570.0,,
2 Bedroom Townhouse,870000.0,2.0,2.0,6.0,,,
2 Bedroom Townhouse,1195000.0,2.0,1.0,3.0,3829.0,,
4 Bedroom House,1050000.0,4.0,1.0,1.0,1.0,,
3 Bedroom House,1160000.0,3.0,3.0,2.0,560.0,,
1 Bedroom Apartment,500000.0,1.0,1.0,1.0,,,
3 Bedroom House,1160000.0,3.0,3.0,2.0,560.0,,
3 Bedroom Townhouse,1629375.0,3.0,3.0,2.0,,,
