Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom House,1199000.0,3.0,3.0,2.0,74610.0,"19 Greenway Woods, 0 Pine Lake Drive",
2 Bedroom Apartment,650000.0,2.0,1.0,1.0,,"25 Ridge View Security Estate, 19 Sagittarius Avenue",
3 Bedroom House,,3.0,2.0,3.0,1000.0,5 Boekenhout Cres Delmas,
3 Bedroom House,1650000.0,3.0,2.0,2.0,,,
2 Bedroom Townhouse,950000.0,2.0,2.0,2.0,,32 Hennie Van Til Street,
5 Bedroom House,7700000.0,5.0,6.0,3.0,14.0,,
4 Bedroom House,4300000.0,4.0,,2.0,,21 Bay Hill Drive,
3 Bedroom House,2290000.0,3.0,2.0,4.0,1458.0,,
1 Bedroom Apartment,520000.0,1.0,1.0,1.0,,9 Clementine Crescent,
2 Bedroom Apartment,850000.0,2.0,15.0,2.0,,34 Hennie Van Til Street,
3 Bedroom House,2480000.0,3.0,35.0,6.0,601.0,33 Legogote Street,
4 Bedroom House,2130000.0,4.0,2.0,4.0,827.0,,
3 Bedroom House,1480000.0,3.0,25.0,2.0,1175.0,,
3 Bedroom House,2480000.0,3.0,35.0,6.0,601.0,33 Legogote Street,
3 Bedroom House,1880000.0,3.0,2.0,4.0,1409.0,,
4 Bedroom House,,4.0,3.0,,1012.0,8 Molly Street,
3 Bedroom Townhouse,880000.0,3.0,2.0,2.0,103.0,,
4 Bedroom House,3695000.0,4.0,2.0,3.0,1360.0,,
1 Bedroom Apartment,575000.0,1.0,1.0,1.0,,,
2 Bedroom Apartment,779000.0,2.0,2.0,2.0,,,
6 Bedroom House,4995000.0,6.0,45.0,7.0,861.0,,
3 Bedroom Townhouse,2100000.0,3.0,2.0,2.0,,,
3 Bedroom House,810000.0,3.0,1.0,1.0,,,
7 Bedroom House,4800000.0,7.0,5.0,8.0,3303.0,,
4 Bedroom House,2000000.0,4.0,3.0,4.0,980.0,6 Krige,
3 Bedroom Townhouse,1630000.0,3.0,2.0,4.0,,,
4 Bedroom House,2672500.0,4.0,2.0,4.0,1487.0,,
3 Bedroom House,1870000.0,3.0,2.0,4.0,,,
3 Bedroom House,7395000.0,3.0,3.0,5.0,27469.0,,
3 Bedroom House,3380000.0,3.0,2.0,4.0,500.0,,
4 Bedroom House,5000000.0,4.0,35.0,6.0,1276.0,,
5 Bedroom House,3200000.0,5.0,3.0,4.0,2400.0,,
2 Bedroom Apartment,890000.0,2.0,2.0,1.0,,,
3 Bedroom House,950000.0,3.0,1.0,2.0,,,
3 Bedroom House,1600000.0,3.0,3.0,,,,
4 Bedroom House,1990000.0,4.0,3.0,5.0,1013.0,,
4 Bedroom House,2200000.0,4.0,5.0,2.0,1316.0,,
2 Bedroom Apartment,790000.0,2.0,2.0,1.0,,,
4 Bedroom House,3000000.0,4.0,4.0,,,,
4 Bedroom House,1990000.0,4.0,2.0,6.0,824.0,,
5 Bedroom House,3261000.0,5.0,4.0,2.0,600.0,,
5 Bedroom House,3200000.0,5.0,3.0,4.0,2400.0,,
3 Bedroom Townhouse,920000.0,3.0,2.0,1.0,,,
3 Bedroom Townhouse,700000.0,3.0,1.0,2.0,57.0,,
2 Bedroom Townhouse,1700000.0,2.0,25.0,,,,
3 Bedroom Apartment,850000.0,3.0,1.0,1.0,58.0,,
3 Bedroom House,1900000.0,3.0,2.0,4.0,,,
3 Bedroom House,990000.0,3.0,2.0,2.0,,,
8 Bedroom House,6995000.0,8.0,4.0,6.0,4452.0,,
3 Bedroom House,1680000.0,3.0,2.0,2.0,,,
2 Bedroom Apartment,675000.0,2.0,1.0,,,43 Marloth Street,
3 Bedroom House,2000000.0,3.0,2.0,2.0,,,
3 Bedroom House,755000.0,3.0,1.0,1.0,,,
3 Bedroom House,2650000.0,3.0,3.0,,7000.0,,
5 Bedroom House,2800000.0,5.0,2.0,4.0,1475.0,,
2 Bedroom Apartment,675000.0,2.0,1.0,,,43 Marloth Street,
6 Bedroom House,2200000.0,6.0,5.0,6.0,,,
1 Bedroom Townhouse,995000.0,1.0,1.0,1.0,6541.0,,
2 Bedroom House,1926000.0,2.0,2.0,,1926.0,,
2 Bedroom Apartment,990000.0,2.0,2.0,2.0,104.0,,
2 Bedroom Apartment,735000.0,2.0,1.0,1.0,,,
2 Bedroom Apartment,850000.0,2.0,2.0,1.0,,,
2 Bedroom Townhouse,869000.0,2.0,1.0,1.0,,,
2 Bedroom Apartment,650000.0,2.0,1.0,1.0,,,
2 Bedroom Apartment,550000.0,2.0,1.0,1.0,,,
3 Bedroom House,900000.0,3.0,2.0,2.0,,,
1 Bedroom House,478463.0,1.0,1.0,,1983.0,,
2 Bedroom Apartment,650000.0,2.0,1.0,1.0,,,
Apartment,305000.0,,1.0,,,,
Apartment,310000.0,,1.0,,,,
Apartment,310000.0,,1.0,,,,
4 Bedroom House,969000.0,4.0,3.0,1.0,,,
3 Bedroom House,650000.0,3.0,2.0,2.0,,,
2 Bedroom Apartment,625000.0,2.0,1.0,,,,
5 Bedroom House,1150000.0,5.0,2.0,3.0,998.0,,
2 Bedroom Townhouse,725000.0,2.0,1.0,,,,
1 Bedroom Apartment,425000.0,1.0,1.0,2.0,,,
4 Bedroom House,2500000.0,4.0,3.0,2.0,1311.0,,
