Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
6 Bedroom House,1450000.0,6.0,4.0,8.0,980.0,,
4 Bedroom House,750000.0,4.0,2.0,1.0,447.0,,
1 Bedroom Apartment,480000.0,1.0,1.0,1.0,,,
1 Bedroom Apartment,720000.0,1.0,1.0,1.0,,64 Steve Biko Avenue,
3 Bedroom Apartment,1075000.0,3.0,2.0,3.0,,,
4 Bedroom House,1185000.0,4.0,2.0,,1241.0,2 Delport Street,
3 Bedroom House,1525000.0,3.0,2.0,2.0,152.0,,
3 Bedroom House,1243000.0,3.0,15.0,8.0,1270.0,,
3 Bedroom Townhouse,2400000.0,3.0,3.0,4.0,605.0,,
3 Bedroom House,1630000.0,3.0,2.0,1.0,1423.0,,
3 Bedroom Townhouse,1375000.0,3.0,2.0,2.0,131.0,,
2 Bedroom Apartment,825000.0,2.0,2.0,1.0,,,
4 Bedroom House,1185000.0,4.0,2.0,,1241.0,2 Delport Street,
3 Bedroom Townhouse,1350000.0,3.0,2.0,2.0,,,
3 Bedroom House,1460000.0,3.0,2.0,4.0,522.0,,
4 Bedroom House,3850000.0,4.0,4.0,6.0,1200.0,101 Mountainview Drive,
2 Bedroom Apartment,760000.0,2.0,2.0,2.0,,,
4 Bedroom House,3180000.0,4.0,35.0,7.0,780.0,,
2 Bedroom Apartment,530000.0,2.0,1.0,2.0,,2 Vyncke,
3 Bedroom House,1100000.0,3.0,1.0,3.0,1537.0,,
1 Bedroom Apartment,1290000.0,1.0,1.0,1.0,,Unit 16 Lifestyle Edge,
3 Bedroom House,2280000.0,3.0,25.0,2.0,353.0,,
2 Bedroom Townhouse,2190000.0,2.0,2.0,2.0,,"23 Heiland, 23 Leivoor Laan",
0.5 Bedroom Apartment,330000.0,5.0,1.0,2.0,,,
1 Bedroom Apartment,800000.0,1.0,15.0,,,,
2 Bedroom Apartment,980000.0,2.0,2.0,1.0,,,
1 Bedroom Apartment,460000.0,1.0,1.0,1.0,,,
2 Bedroom Apartment,1280000.0,2.0,1.0,,,,
3 Bedroom House,899000.0,3.0,2.0,4.0,,,
1 Bedroom Apartment,370000.0,1.0,1.0,1.0,,,
3 Bedroom House,3000000.0,3.0,2.0,4.0,1118.0,,
2 Bedroom House,1799000.0,2.0,2.0,2.0,,,
4 Bedroom Townhouse,2300000.0,4.0,2.0,3.0,,,
0.5 Bedroom Apartment,360000.0,5.0,1.0,1.0,,,
2 Bedroom Apartment,1280000.0,2.0,1.0,,,,
3 Bedroom House,422000.0,3.0,1.0,3.0,771.0,,
House,1100000.0,,,,2855.0,,
