Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom House,690000.0,3.0,1.0,4.0,317.0,,
8 Bedroom House,2933000.0,8.0,7.0,,1858.0,,
4 Bedroom House,1850000.0,4.0,2.0,,,,
3 Bedroom House,1269000.0,3.0,3.0,2.0,900.0,,
4 Bedroom House,1990000.0,4.0,4.0,8.0,3034.0,,
4 Bedroom House,1060000.0,4.0,2.0,6.0,5915.0,,
4 Bedroom House,3999000.0,4.0,3.0,4.0,,,
House,2060000.0,,,,,,
4 Bedroom House,1300000.0,4.0,1.0,1.0,2141.0,,
4 Bedroom House,2800000.0,4.0,2.0,2.0,1283.0,,
2 Bedroom House,530000.0,2.0,2.0,3.0,330.0,,
House,1990000.0,,2.0,1.0,7148.0,,
2 Bedroom House,875000.0,2.0,1.0,1.0,150.0,,
3 Bedroom House,2220000.0,3.0,2.0,1.0,1456.0,,
3 Bedroom House,700000.0,3.0,2.0,4.0,,,
8 Bedroom House,2933000.0,8.0,7.0,,1858.0,,
3 Bedroom House,2970000.0,3.0,2.0,4.0,3331.0,,
3 Bedroom House,2990000.0,3.0,3.0,2.0,500.0,,
3 Bedroom House,2165000.0,3.0,2.0,3.0,1406.0,,
2 Bedroom House,978000.0,2.0,1.0,2.0,630.0,,
3 Bedroom House,850000.0,3.0,3.0,5.0,,,
4 Bedroom House,1799000.0,4.0,2.0,1.0,1113.0,,
5 Bedroom House,800000.0,5.0,4.0,3.0,920.0,,
6 Bedroom House,4250000.0,6.0,5.0,5.0,1794.0,,
8 Bedroom House,1979500.0,8.0,8.0,1.0,419.0,,
House,3000000.0,,,,2300.0,,
12 Bedroom House,2000000.0,12.0,5.0,4.0,1501.0,,
2 Bedroom Townhouse,1180000.0,2.0,1.0,2.0,304.0,,
3 Bedroom House,1800000.0,3.0,2.0,1.0,794.0,,
3 Bedroom Townhouse,1550000.0,3.0,2.0,3.0,301.0,,
2 Bedroom Townhouse,1050000.0,2.0,1.0,1.0,216.0,,
5 Bedroom House,2750000.0,5.0,4.0,4.0,123.0,,
4 Bedroom House,500000.0,4.0,1.0,3.0,9868.0,,
3 Bedroom House,3100000.0,3.0,2.0,8.0,4047.0,,
3 Bedroom House,869000.0,3.0,1.0,,339.0,,
1 Bedroom Apartment,700000.0,1.0,1.0,1.0,,,
3 Bedroom House,1280000.0,3.0,1.0,1.0,836.0,,
2 Bedroom House,900000.0,2.0,1.0,2.0,150.0,,
3 Bedroom House,1200000.0,3.0,2.0,6.0,839.0,,
2 Bedroom Apartment,785000.0,2.0,1.0,1.0,,,
2 Bedroom Apartment,785000.0,2.0,1.0,1.0,,,
5 Bedroom House,3595000.0,5.0,4.0,2.0,2528.0,2 Fritzrand,
4 Bedroom House,1839000.0,4.0,3.0,2.0,880.0,14 Olienhout Avenue,
4 Bedroom House,2120000.0,4.0,2.0,4.0,12629.0,,
4 Bedroom House,2640000.0,4.0,3.0,2.0,4334.0,,
6 Bedroom House,1900000.0,6.0,4.0,3.0,1182.0,44 Stowe Street,
3 Bedroom House,980000.0,3.0,2.0,2.0,1485.0,,
6 Bedroom House,3800000.0,6.0,6.0,6.0,954.0,,
2 Bedroom House,477000.0,2.0,1.0,,325.0,,
4 Bedroom House,2115000.0,4.0,2.0,6.0,1148.0,8 Nuweveld Street,
3 Bedroom House,1837000.0,3.0,2.0,4.0,347.0,1606 Kobus Meiring Street,
4 Bedroom House,797000.0,4.0,2.0,4.0,,16 Ninth Street,
4 Bedroom House,3780000.0,4.0,4.0,2.0,1032.0,,
4 Bedroom House,2580000.0,4.0,4.0,2.0,42407.0,S99 Witolienstraat,
2 Bedroom House,1680000.0,2.0,25.0,2.0,948.0,,
3 Bedroom House,1750000.0,3.0,2.0,4.0,398.0,,
2 Bedroom Townhouse,1100000.0,2.0,1.0,3.0,263.0,98 Hollingworth Street,
3 Bedroom House,1790000.0,3.0,2.0,4.0,1101.0,,
3 Bedroom Townhouse,2600000.0,3.0,2.0,2.0,302.0,"22 N/a, 0 22 Rijkshof, . .",
3 Bedroom House,1060000.0,3.0,2.0,1.0,,,
4 Bedroom House,3200000.0,4.0,2.0,5.0,1230.0,,
5 Bedroom House,4720000.0,5.0,4.0,6.0,1304.0,,
2 Bedroom House,1680000.0,2.0,25.0,2.0,948.0,,
3 Bedroom House,690000.0,3.0,1.0,2.0,396.0,,
2 Bedroom House,750000.0,2.0,1.0,4.0,318.0,,
2 Bedroom House,1100000.0,2.0,1.0,2.0,247.0,,
3 Bedroom House,360000.0,3.0,1.0,,570.0,5 Townshend Street,
5 Bedroom House,3650000.0,5.0,3.0,5.0,502.0,59 Uitzight Street,
1 Bedroom House,1500000.0,1.0,1.0,3.0,1046.0,,
3 Bedroom House,1550000.0,3.0,2.0,4.0,880.0,,
3 Bedroom Apartment,1200000.0,3.0,1.0,2.0,,8 Albertyn Street,
3 Bedroom House,1650000.0,3.0,25.0,2.0,793.0,,
5 Bedroom House,1950000.0,5.0,35.0,6.0,1042.0,,
3 Bedroom House,1650000.0,3.0,2.0,2.0,896.0,,
4 Bedroom House,2950000.0,4.0,3.0,5.0,1001.0,,
4 Bedroom House,3500000.0,4.0,2.0,4.0,1308.0,8 Namakwaduifie,
3 Bedroom Townhouse,1650000.0,3.0,25.0,1.0,,,
8 Bedroom Apartment,1845000.0,8.0,4.0,4.0,1428.0,,
3 Bedroom House,1500000.0,3.0,2.0,2.0,600.0,,
3 Bedroom House,3050000.0,3.0,3.0,2.0,496.0,Monumentpark 1 Yatessingel 17,
4 Bedroom House,2450000.0,4.0,2.0,4.0,780.0,,
3 Bedroom House,990000.0,3.0,1.0,3.0,836.0,,
4 Bedroom House,2300000.0,4.0,2.0,10.0,1186.0,,
3 Bedroom House,1500000.0,3.0,2.0,2.0,600.0,,
