Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom House,3495000.0,3.0,2.0,1.0,250.0,,
4 Bedroom House,4500000.0,4.0,1.0,4.0,1985.0,21 1 St Avenue,
2 Bedroom Apartment,1895000.0,2.0,15.0,1.0,,,
3 Bedroom House,2250000.0,3.0,2.0,2.0,269.0,,
3 Bedroom House,2300000.0,3.0,2.0,1.0,495.0,147 Joubert Street,
8 Bedroom House,11500000.0,8.0,7.0,4.0,21000.0,13 Seemeeu Crescent,
2 Bedroom House,2995000.0,2.0,2.0,1.0,735.0,4203 Aulax Road,
2 Bedroom House,380000.0,2.0,1.0,,96.0,,
3 Bedroom House,3195000.0,3.0,2.0,4.0,609.0,,
2 Bedroom Apartment,1575000.0,2.0,2.0,1.0,,,
1 Bedroom Apartment,2195000.0,1.0,2.0,,,,
3 Bedroom House,655000.0,3.0,1.0,2.0,258.0,12 Esther Crescent,
9 Bedroom House,6995000.0,9.0,5.0,,533.0,17 Mount Albert Street,
2 Bedroom Apartment,2500000.0,2.0,2.0,2.0,,"26 Ss Trippel Sewe, 12 Witwatersrand Road",
2 Bedroom House,2695000.0,2.0,1.0,,135.0,16 Oxford Road,
Apartment,4195000.0,,,,,"2 Alhof Drive, Da Nova, Mossel Bay, 6506",
1 Bedroom Apartment,1499000.0,1.0,1.0,1.0,,,
5 Bedroom House,4850000.0,5.0,3.0,2.0,760.0,,
1 Bedroom Apartment,3550000.0,1.0,1.0,1.0,,,
3 Bedroom House,4399000.0,3.0,3.0,5.0,595.0,3 Clingen Street,
2 Bedroom House,2695000.0,2.0,1.0,,135.0,16 Oxford Road,
3 Bedroom House,4650000.0,3.0,35.0,4.0,750.0,"184 Theewaterskloof Country Estate, 184 The Fairways",
3 Bedroom House,5400000.0,3.0,3.0,2.0,1751.0,4 Queen Street,
4 Bedroom House,4350000.0,4.0,3.0,4.0,320.0,,
3 Bedroom Apartment,3400000.0,3.0,2.0,2.0,91.0,,
3 Bedroom House,2800000.0,3.0,2.0,2.0,1200.0,,
3 Bedroom Apartment,3350000.0,3.0,35.0,1.0,,,
5 Bedroom House,4250000.0,5.0,4.0,2.0,775.0,,
4 Bedroom House,9700000.0,4.0,35.0,4.0,1022.0,69 Mountain View Street,
4 Bedroom House,7500000.0,4.0,4.0,6.0,824.0,35 Geelhoutlaan,
2 Bedroom House,1650000.0,2.0,1.0,2.0,280.0,,
4 Bedroom House,9700000.0,4.0,35.0,4.0,1022.0,69 Mountain View Street,
3 Bedroom House,2520000.0,3.0,3.0,7.0,468.0,,
3 Bedroom House,820000.0,3.0,1.0,1.0,228.0,,
3 Bedroom House,2700000.0,3.0,2.0,4.0,386.0,,
6 Bedroom House,29800000.0,6.0,8.0,10.0,4000.0,,
3 Bedroom House,2499000.0,3.0,1.0,1.0,925.0,3 Gazania Crescent,
4 Bedroom House,4900000.0,4.0,3.0,2.0,270.0,12 Hamsterley Crescent,
4 Bedroom House,7500000.0,4.0,3.0,8.0,590.0,10 Upper Road,
3 Bedroom House,1495000.0,3.0,2.0,4.0,743.0,11 Arikreukel Street,
5 Bedroom House,6995000.0,5.0,35.0,6.0,820.0,,
3 Bedroom House,5500000.0,3.0,3.0,4.0,741.0,,
3 Bedroom House,3600000.0,3.0,3.0,5.0,345.0,,
3 Bedroom Apartment,2429900.0,3.0,2.0,2.0,,"5001 Suikerbos, Dorothea Drive",
4 Bedroom House,4640000.0,4.0,4.0,4.0,991.0,,
2 Bedroom Apartment,790000.0,2.0,1.0,1.0,38.0,9 Education Street,
4 Bedroom House,11600000.0,4.0,3.0,6.0,753.0,50 Uitgezocht Estate,
2 Bedroom Townhouse,2695000.0,2.0,2.0,2.0,160.0,"35 Bayford Bend, 35 Bayford Bend",
2 Bedroom Townhouse,1595000.0,2.0,1.0,3.0,171.0,63 Tony Crescent,
2 Bedroom Apartment,2695000.0,2.0,1.0,1.0,,"421 Wex 1, 85 Albert Road",
1 Bedroom Apartment,3400000.0,1.0,1.0,,,,
3 Bedroom House,5500000.0,3.0,35.0,4.0,741.0,,
2 Bedroom Apartment,2600000.0,2.0,1.0,2.0,,,
2 Bedroom House,2695000.0,2.0,1.0,2.0,176.0,37 Constitution Crescent,
3 Bedroom House,2300000.0,3.0,2.0,2.0,149.0,,
3 Bedroom House,1290000.0,3.0,2.0,4.0,612.0,14 Disa Street,
2 Bedroom Apartment,3200000.0,2.0,2.0,2.0,,,
3 Bedroom Apartment,7250000.0,3.0,2.0,1.0,,"Rose Court, 1 Avenue Saint Denis",
2 Bedroom Apartment,3200000.0,2.0,2.0,2.0,,,
2 Bedroom Apartment,3600000.0,2.0,2.0,2.0,,,
3 Bedroom House,7850000.0,3.0,2.0,4.0,400.0,,
3 Bedroom Apartment,2200000.0,3.0,1.0,1.0,,1 Blouwildebees Street,
5 Bedroom House,4550000.0,5.0,4.0,4.0,718.0,,
1 Bedroom Apartment,1350000.0,1.0,1.0,1.0,,"47 D'urban Place, 1 Alf Street",
2 Bedroom Apartment,2145000.0,2.0,1.0,2.0,,,
2 Bedroom Apartment,4650000.0,2.0,2.0,2.0,,12 Beach Estate Boulevard,
1 Bedroom Townhouse,1950000.0,1.0,1.0,,,425 The Gables Retirement Village,
3 Bedroom House,5500000.0,3.0,4.0,1.0,411.0,87 Beach Road,
4 Bedroom House,5999999.0,4.0,5.0,4.0,382.0,60 Gladstone Road,
3 Bedroom Townhouse,3695000.0,3.0,15.0,2.0,,30 Witzenberg Road,
5 Bedroom House,7250000.0,5.0,3.0,6.0,910.0,4 Dante Road,
5 Bedroom Apartment,4500000.0,5.0,2.0,8.0,,"33 Vier Eike, 81 Bird Street",
2 Bedroom House,2495000.0,2.0,2.0,2.0,210.0,,
House,3650000.0,,1.0,4.0,416.0,15 Fabriek Street,
3 Bedroom House,3090000.0,3.0,2.0,7.0,800.0,,
3 Bedroom House,3495000.0,3.0,2.0,5.0,782.0,,
3 Bedroom House,1800000.0,3.0,1.0,2.0,170.0,,
3 Bedroom House,2595000.0,3.0,1.0,2.0,594.0,8 Jangada Street,
3 Bedroom House,3626330.0,3.0,2.0,1.0,335.0,10 Kinkelbos,
4 Bedroom House,3395000.0,4.0,3.0,3.0,352.0,47 Bainsvallei,
1 Bedroom Apartment,3250000.0,1.0,1.0,1.0,,2 Riebeek St,
3 Bedroom House,6450000.0,3.0,35.0,5.0,1978.0,,
1 Bedroom Apartment,715000.0,1.0,1.0,1.0,,"5 Ss Oude Weelde, 9 High Street",
House,3650000.0,,1.0,4.0,416.0,15 Fabriek Street,
2 Bedroom House,2495000.0,2.0,1.0,2.0,151.0,,
3 Bedroom Townhouse,23995000.0,3.0,3.0,2.0,,26 Sedgemoor Road,
6 Bedroom House,2499000.0,6.0,3.0,4.0,360.0,,
5 Bedroom House,51000000.0,5.0,5.0,6.0,1037.0,,
4 Bedroom House,17850000.0,4.0,45.0,6.0,1200.0,,
2 Bedroom House,395000.0,2.0,1.0,4.0,168.0,,
2 Bedroom House,895000.0,2.0,1.0,,157.0,"97 Symphony Avenue, Mountainridge Estate",
1 Bedroom Apartment,1895000.0,1.0,1.0,1.0,,,
2 Bedroom Apartment,12500000.0,2.0,2.0,2.0,,11 South Arm Road,
3 Bedroom House,1900000.0,3.0,1.0,4.0,728.0,13 Pastorie Street,
3 Bedroom House,3100000.0,3.0,2.0,1.0,505.0,,
3 Bedroom House,4850000.0,3.0,35.0,4.0,,,
4 Bedroom House,17900000.0,4.0,3.0,3.0,754.0,,
2 Bedroom Apartment,1895000.0,2.0,1.0,1.0,58.0,South Road Tableview,
3 Bedroom House,4995000.0,3.0,3.0,4.0,888.0,1 Fynbos Crescent,
2 Bedroom Apartment,9600000.0,2.0,25.0,2.0,,,
3 Bedroom House,1600000.0,3.0,2.0,4.0,660.0,,
1 Bedroom Apartment,1995000.0,1.0,1.0,,,,
2 Bedroom House,395000.0,2.0,1.0,4.0,168.0,,
2 Bedroom Apartment,8025000.0,2.0,2.0,,,17 Dixon Street,
5 Bedroom House,3150000.0,5.0,3.0,4.0,495.0,,
2 Bedroom House,720000.0,2.0,1.0,,192.0,,
2 Bedroom House,980000.0,2.0,1.0,1.0,183.0,,
2 Bedroom Apartment,1950000.0,2.0,2.0,,,,
5 Bedroom House,3295000.0,5.0,2.0,7.0,895.0,,
3 Bedroom Townhouse,3990000.0,3.0,25.0,4.0,220.0,40 Filly Rd,
2 Bedroom Apartment,4900000.0,2.0,2.0,2.0,,"38 Main Road, Westcliff Hermanus",
3 Bedroom House,3495000.0,3.0,2.0,1.0,591.0,21 James Walton Crescent,
